# model,min,mean,min_per_view,view,cap_view,vg_mAP,vg_det_mAP
baseline,0.6958762886597938,0.6872852233676976,0.6941580756013745,0.125,0.11855670064687729,0.088,0.223
min_cap,0.74,0.75,0.7989690721649485,0.12016752362251282,0.17096219956874847,0.012,0.089
min_cap_view,0.7242268041237113,0.7121993127147767,0.7250859106529209,0.5253,0.2792,0.019,0.1
min_cap_view_contrastive,0.5876288659793815,0.563573883161512,0.5670103092783505,0.12489261478185654,0.3823024034500122,0.004,0.048
min_cap_multiview,0.7353951890034365,0.7757731958762887,0.7628865979381443,0.11716065555810928,0.2147766351699829,0.002,0.028
min_cap_multiview_cap,0.7663230240549829,0.7955326460481099,0.7946735395189003,0.125,0.14518900215625763,0.035,0.167
min_cap_multiview_cap_view,0.7560137457044673,0.7903780068728522,0.7946735395189003,0.538444995880127,0.1666666716337204,0.022,0.105
min_cap_multiview_view,0.7268041237113402,0.7525773195876289,0.756872852233677,0.5177190899848938,0.219072163105011,0.020,0.090
min_cap_multiview_cap_view_contrastive,0.5876288659793815,0.6434707903780069,0.6073883161512027,0.11694587767124176,0.1975945085287094,
